vax1	VAX1
vax2	VAX2
aldh1a3	ALDH1A3
bcl11ab	BCL11A
pax2b	PAX2
eno4	ENO4
smoc2	SMOC2
fgfrl1a	FGFRL1
pax2a	PAX2
nrxn1a	NRXN1
sulf1	SULF1
smoc1	SMOC1
lhx9	LHX9
ephb2b	EPHB2
fezf1	FEZF1
lhx2b	LHX2
six6a	SIX6
foxg1a	FOXG1
lmo4a	LMO4
cyp27c1	CYP27C1
ntn1b	NTN1
bmpr1ba	BMPR1B
afap1l2	AFAP1L2
nrp2b	NRP2
sfrp1a	SFRP1
lix1	LIX1
auts2b	AUTS2
vegfaa	VEGFA
stra6	STRA6
bcl11aa	BCL11A
cxcl12b	CXCL12
bcam	BCAM
pdzrn3b	PDZRN3
plxnb3	PLXNB3
efna5a	EFNA5
mcama	MCAM
nrp1a	NRP1
cux1a	CUX1
rgma	RGMA
sox5	SOX5
pdgfaa	PDGFA
kank1a	KANK1
sox1b	SOX1
plxnb1a	PLXNB1
ntn1a	NTN1
pkdcca	PKDCC
tmem108	TMEM108
col5a3a	COL5A3
rdh10a	RDH10
six3b	SIX3
bmp7b	BMP7
igfbp5b	IGFBP5
adamts18	ADAMTS18
nr2e1	NR2E1
cep131	CEP131
cadps2	CADPS2
cyp1b1	CYP1B1
atp6v1ba	ATP6V1B2
six3a	SIX3
il1rapl1a	IL1RAPL1
nxn	NXN
mpp7a	MPP7
plekhg4	PLEKHG4
slit2	SLIT2
adamts6	ADAMTS6
foxn3	FOXN3
shisa3	SHISA3
shtn1	SHTN1
gria1b	GRIA1
sox4a	SOX4
dmrta2	DMRTA2
numbl	NUMBL
fzd8a	FZD8
pcdh1a	PCDH1
rassf10a	RASSF10
rassf10b	RASSF10
her9	HES4
fzd5	FZD5
dlc1	DLC1
nid2a	NID2
plekha6	PLEKHA6
cgnb	CGN
zic2a	ZIC2
mid2	MID2
ackr3b	ACKR3
fbrsl1	FBRSL1
cxcl12a	CXCL12
vasnb	VASN
pcdh17	PCDH17
rrbp1b	RRBP1
col14a1a	COL14A1
dpp6a	DPP6
scube3	SCUBE3
traf4a	TRAF4
spry2	SPRY2
nedd9	NEDD9
efnb3a	EFNB3
apln	APLN
tns1a	TNS1
tshz2	TSHZ2
eya1	EYA1
egfra	EGFR
otpb	OTP
kif26ab	KIF26A
pdgfab	PDGFA
chfr	CHFR
dennd2b	DENND2B
lrrtm1	LRRTM1
apcdd1l	APCDD1L
lgr4	LGR4
rorb	RORB
sema4c	SEMA4C
grb14	GRB14
tle3b	TLE3
ephb3a	EPHB3
ephb3b	EPHB3
ldlrad4a	LDLRAD4
gli1	GLI1
lamb1a	LAMB1
arhgap29a	ARHGAP29
mpped2	MPPED2
spry4	SPRY4
sox6	SOX6
bcdin3d	BCDIN3D
frem2a	FREM2
pcdh7b	PCDH7
ptbp1a	PTBP1
ephb1	EPHB1
map2	MAP2
kirrel3a	KIRREL3
kirrel3b	KIRREL3
aass	AASS
usp43b	USP43
adgrb1a	ADGRB1
grhl2a	GRHL2
tjp1a	TJP1
itga1	ITGA1
ldlrad4b	LDLRAD4
zyx	ZYX
dchs1a	DCHS1
kif13bb	KIF13B
fezf2	FEZF2
inavab	INAVA
fmnl2a	FMNL2
frem2b	FREM2
samd11	SAMD11
epha2b	EPHA2
prkcz	PRKCZ
