11:20029674-20030460  upregulated fezf2
11:28305775-28306856  upregulated ephb2b
11:28169968-28170875  upregulated ephb2b
12:23352655-23353569  upregulated mpp7a
12:24590878-24591805  upregulated nrxn1a
12:24595089-24595992  upregulated nrxn1a
12:24569222-24570031  upregulated nrxn1a
12:24574036-24574946  upregulated nrxn1a
12:24561401-24562459  upregulated nrxn1a
12:25565324-25566207  upregulated six3b
12:25564126-25564962  upregulated six3b
12:25568229-25569134  upregulated six3b
12:25600294-25601132  upregulated six3b
12:45764086-45764989  upregulated pax2b
12:45719936-45721002  upregulated pax2b
12:45876015-45876910  upregulated pax2b
13:10311642-10312598  upregulated six3a
13:10261084-10261906  upregulated six3a
13:10264422-10265255  upregulated six3a
13:25852342-25853223  upregulated bcl11aa
13:29902260-29903179  upregulated pax2a
13:29883700-29884720  upregulated pax2a
13:29899253-29900045  upregulated pax2a
13:29881213-29882151  upregulated pax2a
13:30814563-30815439  upregulated cxcl12a
13:30779416-30780318  upregulated cxcl12a
13:3165272-3166182  upregulated pkdcca
13:3092708-3093611  upregulated pkdcca
13:31603583-31604349  upregulated six6a
13:31583913-31584669  upregulated six6a
13:31588159-31589049  upregulated six6a
13:31607177-31608063  upregulated six6a
13:43411045-43411944  upregulated smoc2
14:17480617-17481487  upregulated fgfrl1a
14:33747379-33748382  upregulated apln
15:15536053-15536959  upregulated traf4a
15:16281882-16282717  upregulated nxn
16:4376202-4377061  upregulated vegfaa
17:14837957-14838860  upregulated nid2a
17:21403503-21404418  upregulated eno4
17:21312470-21313685  upregulated eno4
17:21410162-21411074  upregulated eno4
17:21319711-21320748  upregulated eno4
17:21346407-21347301  upregulated eno4
17:21362346-21363222  upregulated eno4
17:21406866-21407783  upregulated eno4
17:21389220-21390121  upregulated eno4
17:21289878-21290768  upregulated eno4
17:21442033-21442941  upregulated shtn1
17:21403503-21404418  upregulated shtn1
17:21312470-21313685  upregulated shtn1
17:21410162-21411074  upregulated shtn1
17:21319711-21320748  upregulated shtn1
17:21346407-21347301  upregulated shtn1
17:21362346-21363222  upregulated shtn1
17:21406866-21407783  upregulated shtn1
17:21389220-21390121  upregulated shtn1
17:21289878-21290768  upregulated shtn1
17:21442033-21442941  upregulated atp6v1ba
17:21403503-21404418  upregulated atp6v1ba
17:21312470-21313685  upregulated atp6v1ba
17:21410162-21411074  upregulated atp6v1ba
17:21319711-21320748  upregulated atp6v1ba
17:21346407-21347301  upregulated atp6v1ba
17:21362346-21363222  upregulated atp6v1ba
17:21406866-21407783  upregulated atp6v1ba
17:21389220-21390121  upregulated atp6v1ba
17:21289878-21290768  upregulated atp6v1ba
17:21442033-21442941  upregulated vax1
17:21403503-21404418  upregulated vax1
17:21410162-21411074  upregulated vax1
17:21346407-21347301  upregulated vax1
17:21362346-21363222  upregulated vax1
17:21406866-21407783  upregulated vax1
17:21389220-21390121  upregulated vax1
17:48255251-48256178  upregulated smoc1
17:48240545-48241459  upregulated smoc1
18:24825209-24826115  upregulated rgma
19:3622397-3623292  upregulated nedd9
