10:22569837-22570928  upregulated efnb3a
1:11213914-11214823  upregulated sdk1b
11:15630796-15631766  upregulated gdf11
1:11836331-11837279  upregulated ttyh3b
1:11789992-11790944  upregulated ttyh3b
11:27304043-27305003  upregulated fbln2
11:28370375-28371271  upregulated ephb2b
11:28903135-28904141  upregulated igsf21a
11:3400764-3401657  upregulated acap3b
11:3447056-3448099  upregulated acap3b
11:35796745-35797268  upregulated bhlhe40
11:35811270-35812186  upregulated bhlhe40
11:35762907-35763736  upregulated bhlhe40
11:35848688-35849581  upregulated bhlhe40
11:35797381-35798259  upregulated bhlhe40
1:19397630-19398566  upregulated rbm47
1:19338317-19339201  upregulated rbm47
1:2172208-2173118  upregulated mbnl2
1:2143311-2144201  upregulated mbnl2
12:25600294-25601132  upregulated six3b
12:25544061-25544953  upregulated six3b
12:25528029-25528906  upregulated six3b
1:24043605-24044493  upregulated lrba
1:24028836-24029712  upregulated lrba
1:24043605-24044493  upregulated mab21l2
1:24028836-24029712  upregulated mab21l2
1:26291902-26292836  upregulated cxxc4
1:27052609-27053481  upregulated bnc2
1:29812662-29813580  upregulated zic2b
1:29814559-29815467  upregulated zic2b
13:10563011-10563889  upregulated camkmt
13:10563011-10563889  upregulated prepl
13:16827223-16828136  upregulated lrmda
13:17143922-17144832  upregulated lrmda
13:17027874-17028811  upregulated lrmda
13:22600327-22601217  upregulated ldb3a
13:22660575-22661384  upregulated bmpr1aa
13:22600327-22601217  upregulated bmpr1aa
13:32146472-32147232  upregulated osr1
13:33888449-33889300  upregulated flrt3
13:33865229-33866088  upregulated flrt3
13:41540199-41541095  upregulated pcdh15a
13:43411045-43411944  upregulated smoc2
13:43416330-43417380  upregulated smoc2
1:39652269-39653215  upregulated tenm3
1:39391443-39392346  upregulated tenm3
14:17534661-17535541  upregulated fgfrl1a
1:42724522-42725461  upregulated lrrtm1
14:5051124-5052056  upregulated nanos1
15:17586851-17587808  upregulated adamts15b
15:17586851-17587808  upregulated adamts15b
15:22467158-22468062  upregulated oafa
15:22467158-22468062  upregulated arhgef12a
15:25941712-25942703  upregulated dph1
15:27401621-27402368  upregulated tbx2b
15:27428213-27429097  upregulated tbx2b
15:27312180-27313089  upregulated tbx2b
15:27363914-27364733  upregulated tbx2b
15:32933444-32934344  upregulated nbeab
15:4450743-4451668  upregulated atp1b3b
15:8958332-8959260  upregulated rhoub
16:12357237-12358157  upregulated ephb6
16:12526972-12527867  upregulated ephb6
16:12302728-12303626  upregulated ephb6
16:15479623-15480601  upregulated has2
16:35165864-35166756  upregulated ptprub
16:35292899-35293780  upregulated ptprub
17:11111867-11113002  upregulated dact1
17:21389220-21390121  upregulated eno4
17:21389220-21390121  upregulated shtn1
17:21442033-21442941  upregulated shtn1
17:21436246-21437251  upregulated shtn1
17:21389220-21390121  upregulated atp6v1ba
17:21442033-21442941  upregulated atp6v1ba
17:21436246-21437251  upregulated atp6v1ba
17:21389220-21390121  upregulated vax1
17:21442033-21442941  upregulated vax1
17:21436246-21437251  upregulated vax1
17:29890789-29891640  upregulated esrrga
17:50526045-50526957  upregulated bmp4
18:11052122-11053023  upregulated tspan9a
18:11182426-11183440  upregulated tspan9a
18:20713696-20714578  upregulated wnt2
18:20711047-20711968  upregulated wnt2
18:20713696-20714578  upregulated cftr
18:20711047-20711968  upregulated cftr
18:44218234-44219140  upregulated cdon
18:9236193-9237100  upregulated sema3ab
18:9534247-9535144  upregulated sema3ab
18:9386840-9387752  upregulated sema3ab
18:9273952-9274704  upregulated sema3ab
19:31839595-31840518  upregulated zbtb10
19:31835129-31836047  upregulated zbtb10
19:34704519-34705429  upregulated elp2
19:38811866-38812773  upregulated adgrb2
20:20567601-20568500  upregulated six6b
20:20578770-20579648  upregulated six6b
20:20455847-20456766  upregulated six6b
20:20530322-20530906  upregulated six6b
20:31453180-31454101  upregulated usta
20:31352595-31353609  upregulated usta
20:33926987-33928086  upregulated lmx1a
20:33936190-33937054  upregulated lmx1a
20:44841655-44842551  upregulated klhl29
20:5190539-5191441  upregulated ccdc85cb
20:5568897-5569787  upregulated nrxn3b
21:20528671-20529584  upregulated efna5a
21:20506542-20507463  upregulated efna5a
2:18664633-18665828  upregulated pbx1a
2:18769933-18770626  upregulated pbx1a
22:38842158-38842657  upregulated anos1b
2:23995885-23996995  upregulated col15a1b
22:5025481-5026381  upregulated rx1
22:5006403-5007304  upregulated rx1
22:4998577-4999579  upregulated rx1
22:5019410-5020237  upregulated rx1
22:4992797-4993707  upregulated rx1
22:5003963-5004882  upregulated rx1
23:21827846-21828754  upregulated ephb2a
23:21951029-21952029  upregulated ephb2a
23:23201484-23202398  upregulated noc2l
23:23115485-23116246  upregulated noc2l
23:24704795-24705694  upregulated c1qtnf12
23:2474242-2475149  upregulated snai1b
23:25730111-25731005  upregulated rbms2b
23:40384998-40385867  upregulated elovl4b
23:41181829-41182942  upregulated nhsa
23:6417357-6418249  upregulated bmp7b
23:6521676-6522528  upregulated bmp7b
23:6521676-6522528  upregulated spo11
2:40989537-40990415  upregulated hs6st1a
24:18760608-18761513  upregulated relch
24:18655054-18655969  upregulated relch
24:21357144-21358070  upregulated shisa2b
24:28591786-28592678  upregulated arhgap29a
24:773874-774777  upregulated stk17a
25:14665668-14666569  upregulated nav2b
25:14972489-14973553  upregulated pax6a
25:15124855-15125783  upregulated pax6a
25:15877006-15877913  upregulated syt9b
25:1885039-1885940  upregulated fbln1
25:18187131-18188003  upregulated kitlga
25:22562459-22563357  upregulated stra6
25:22593915-22594819  upregulated stra6
25:34575441-34576341  upregulated klf13
25:34541752-34542648  upregulated klf13
25:34575441-34576341  upregulated trpm1b
25:34541752-34542648  upregulated trpm1b
2:55872069-55872950  upregulated rx2
2:55815801-55816594  upregulated rx2
2:55817765-55818622  upregulated rx2
2:7982035-7983005  upregulated ephb3a
3:12997130-12998014  upregulated pdgfab
3:39639106-39640087  upregulated grapa
4:20789245-20790103  upregulated nav3
4:21293960-21294867  upregulated syt1a
4:5585245-5586143  upregulated vegfab
4:6016311-6017207  upregulated tfec
4:6011317-6012228  upregulated tfec
4:6032239-6032965  upregulated tfec
4:6005354-6006252  upregulated tfec
4:6035652-6036657  upregulated tfec
5:23170478-23171450  upregulated prps1a
5:32969867-32970769  upregulated lmo4a
5:32963235-32964272  upregulated lmo4a
5:34997338-34998226  upregulated foxd1
5:35024876-35026014  upregulated foxd1
5:35169513-35170458  upregulated fcho2
5:35138904-35139817  upregulated fcho2
5:35141603-35142498  upregulated fcho2
5:35024876-35026014  upregulated fcho2
5:64781341-64782263  upregulated olfm1a
5:7655583-7656497  upregulated bmpr1ba
6:44328126-44328909  upregulated pdzrn3b
6:44329533-44330419  upregulated pdzrn3b
6:51126017-51126926  upregulated ptprt
6:51190481-51191375  upregulated ptprt
6:51453549-51454426  upregulated ptprt
6:51281731-51283101  upregulated ptprt
6:51394246-51395231  upregulated ptprt
6:51126017-51126926  upregulated ptprt
6:51190481-51191375  upregulated ptprt
7:15796987-15797870  upregulated pax6b
7:16045317-16046223  upregulated immp1l
7:16060511-16061413  upregulated immp1l
7:17084192-17085259  upregulated prmt3
7:17074003-17074798  upregulated prmt3
7:18838481-18839399  upregulated mllt3
7:18814384-18815285  upregulated mllt3
7:29570469-29571181  upregulated rorab
7:56873701-56874607  upregulated myo9aa
7:63486026-63486884  upregulated pcdh7b
7:63468888-63469691  upregulated pcdh7b
7:8823467-8824373  upregulated vax2
7:9803117-9803973  upregulated aldh1a3
8:25558398-25559245  upregulated prex1
8:3125134-3126057  upregulated lhx2b
9:11615651-11616535  upregulated itgav
9:14445790-14446640  upregulated nrp2b
9:16419523-16420672  upregulated epha3
9:16702798-16703652  upregulated epha3
9:23099825-23100775  upregulated lypd6
9:33394717-33395521  upregulated caska
9:33599663-33600576  upregulated caska
9:43473553-43474464  upregulated znf385b
9:43373851-43374649  upregulated znf385b
9:43944264-43945166  upregulated itga4
9:46875004-46876005  upregulated igfbp5b1:26291902-26292836 peak within reach of gene downregulated tet2
15:4450743-4451668  downregulated tfdp2
16:51217061-51217955  downregulated ago1
16:51203827-51204755  downregulated ago1
18:20243224-20243968  downregulated tle3a
18:23895225-23896271  downregulated nr2f2
18:24047695-24048854  downregulated nr2f2
2:33160160-33160991  downregulated rnf220a
2:33097398-33098307  downregulated rnf220a
2:33080010-33080916  downregulated rnf220a
24:23277030-23277885  downregulated zfhx4
24:23300598-23301430  downregulated zfhx4
24:38042151-38043077  downregulated metrn
5:17702640-17703595  downregulated fbrsl1
7:17084192-17085259  downregulated nav2a
7:17074003-17074798  downregulated nav2a
