nova2	NOVA2
adgrv1	ADGRV1
ncam1b	NCAM1
zfhx4	ZFHX4
robo1	ROBO1
lrig1	LRIG1
zbtb16b	ZBTB16
sox13	SOX13
notch1a	NOTCH1
fgfr3	FGFR3
ptprn2	PTPRN2
jag2b	JAG2
notch3	NOTCH3
ddr1	DDR1
efna2a	EFNA2
cspg5a	CSPG5
ank2b	ANK2
nr2f1b	NR2F1
notch1b	NOTCH1
lrp2a	LRP2
greb1	GREB1
bach2b	BACH2
st8sia2	ST8SIA2
ago1	AGO1
nav2a	NAV2
mdkb	MDK
celsr1b	CELSR1
rfx2	RFX2
gpm6bb	GPM6B
ccdc85ca	CCDC85C
plch1	PLCH1
rassf7a	RASSF7
tcf7l2	TCF7L2
lmo3	LMO3
mbd3b	MBD3
myh14	MYH14
tox3	TOX3
brsk2b	BRSK2
chl1b	CHL1
tfdp2	TFDP2
lfng	LFNG
scube2	SCUBE2
rrm2	RRM2
nedd9	NEDD9
chl1a	CHL1
frmd5a	FRMD5
frmd5b	FRMD5
cldn5a	CLDN5
efnb1	EFNB1
metrn	METRN
hs3st3b1b	HS3ST3B1
tle3a	TLE3
auts2a	AUTS2
tnika	TNIK
efnb2a	EFNB2
arhgap21a	ARHGAP21
lig1	LIG1
adgrl3.1	ADGRL3
rnf220a	RNF220
lrrn1	LRRN1
tet2	TET2
lrch4	LRCH4
gnao1a	GNAO1
ptch1	PTCH1
dennd5b	DENND5B
tmem47	TMEM47
nr2f2	NR2F2
cdh7a	CDH7
rassf2a	RASSF2
fhod3b	FHOD3
midn	MIDN
ackr3b	ACKR3
phf21b	PHF21B
setbp1	SETBP1
pag1	PAG1
nkd1	NKD1
vwa7	VWA7
fbrsl1	FBRSL1
bcor	BCOR
map7d1a	MAP7D1
map2	MAP2
prim2	PRIM2
ephb4b	EPHB4
e2f8	E2F8
mxd3	MXD3
cep170aa	CEP170
osbpl10b	OSBPL10
tox2	TOX2
gfap	GFAP
