11:20029674-20030460	fezf2
11:28305775-28306856	ephb2b
11:28169968-28170875	ephb2b
12:23352655-23353569	mpp7a
12:24590878-24591805	nrxn1a
12:24595089-24595992	nrxn1a
12:24569222-24570031	nrxn1a
12:24574036-24574946	nrxn1a
12:24561401-24562459	nrxn1a
12:25565324-25566207	six3b
12:25564126-25564962	six3b
12:25568229-25569134	six3b
12:25600294-25601132	six3b
12:45764086-45764989	pax2b
12:45719936-45721002	pax2b
12:45876015-45876910	pax2b
13:10311642-10312598	six3a
13:10261084-10261906	six3a
13:10264422-10265255	six3a
13:25852342-25853223	bcl11aa
13:29902260-29903179	pax2a
13:29883700-29884720	pax2a
13:29899253-29900045	pax2a
13:29881213-29882151	pax2a
13:30814563-30815439	cxcl12a
13:30779416-30780318	cxcl12a
13:3165272-3166182	pkdcca
13:3092708-3093611	pkdcca
13:31603583-31604349	six6a
13:31583913-31584669	six6a
13:31588159-31589049	six6a
13:31607177-31608063	six6a
13:43411045-43411944	smoc2
14:17480617-17481487	fgfrl1a
14:33747379-33748382	apln
15:15536053-15536959	traf4a
15:16281882-16282717	nxn
16:4376202-4377061	vegfaa
17:14837957-14838860	nid2a
17:21403503-21404418	eno4
17:21312470-21313685	eno4
17:21410162-21411074	eno4
17:21319711-21320748	eno4
17:21346407-21347301	eno4
17:21362346-21363222	eno4
17:21406866-21407783	eno4
17:21389220-21390121	eno4
17:21289878-21290768	eno4
17:21442033-21442941	shtn1
17:21403503-21404418	shtn1
17:21312470-21313685	shtn1
17:21410162-21411074	shtn1
17:21319711-21320748	shtn1
17:21346407-21347301	shtn1
17:21362346-21363222	shtn1
17:21406866-21407783	shtn1
17:21389220-21390121	shtn1
17:21289878-21290768	shtn1
17:21442033-21442941	atp6v1ba
17:21403503-21404418	atp6v1ba
17:21312470-21313685	atp6v1ba
17:21410162-21411074	atp6v1ba
17:21319711-21320748	atp6v1ba
17:21346407-21347301	atp6v1ba
17:21362346-21363222	atp6v1ba
17:21406866-21407783	atp6v1ba
17:21389220-21390121	atp6v1ba
17:21289878-21290768	atp6v1ba
17:21442033-21442941	vax1
17:21403503-21404418	vax1
17:21410162-21411074	vax1
17:21346407-21347301	vax1
17:21362346-21363222	vax1
17:21406866-21407783	vax1
17:21389220-21390121	vax1
17:48255251-48256178	smoc1
17:48240545-48241459	smoc1
18:24825209-24826115	rgma
19:3622397-3623292	nedd9
19:7651927-7652836	cgnb
20:32455530-32456507	nr2e1
21:20521924-20522810	efna5a
21:20506542-20507463	efna5a
21:20612333-20613179	efna5a
2:26290560-26291539	ptbp1a
23:23116312-23117401	samd11
23:23343289-23344264	her9
23:23436219-23436809	her9
23:23382225-23382919	her9
23:24377124-24378029	epha2b
23:24347028-24347890	epha2b
23:41558102-41559122	scube3
2:3684624-3685518	egfra
24:13269845-13270499	rdh10a
24:19503095-19503998	sulf1
24:19515424-19516399	sulf1
24:4452153-4453050	fzd8a
2:46501499-46502406	ephb1
25:28257092-28258037	cadps2
25:28144514-28145459	cadps2
25:28252792-28253717	cadps2
25:28151180-28152201	cadps2
25:28272740-28273521	cadps2
25:28181652-28182721	cadps2
25:28257092-28258037	fezf1
25:28252792-28253717	fezf1
25:28272740-28273521	fezf1
25:28181652-28182721	fezf1
25:28257092-28258037	aass
25:28252792-28253717	aass
25:28272740-28273521	aass
25:28181652-28182721	aass
3:12933574-12934594	pdgfab
5:17841139-17842070	fbrsl1
5:17841139-17842070	chfr
5:32960368-32961220	lmo4a
5:32966991-32967842	lmo4a
5:32963235-32964272	lmo4a
5:32969867-32970769	lmo4a
5:44880440-44881309	kank1a
5:64781341-64782263	lix1
5:64833558-64834396	lix1
5:7655583-7656497	bmpr1ba
5:7652571-7653445	bmpr1ba
6:15792492-15793393	ackr3b
6:19843773-19844686	ntn1a
6:49669549-49670464	apcdd1l
6:6612882-6613727	bcl11ab
6:6561720-6562635	bcl11ab
6:9573887-9574944	cyp27c1
7:28576146-28577040	dennd2b
7:31079769-31080682	tjp1a
7:33771563-33772449	tle3b
7:34756556-34757470	plekhg4
7:8823467-8824373	vax2
7:8794825-8795736	vax2
7:8787968-8788996	vax2
7:8830688-8831589	vax2
7:8799203-8800273	vax2
7:8881503-8882339	vax2
7:8810770-8811698	vax2
7:9803117-9803973	aldh1a3
8:16294977-16295895	dmrta2
8:16347938-16348853	dmrta2
8:16263684-16264563	dmrta2
8:16299635-16300538	dmrta2
8:16261585-16262487	dmrta2
8:16291077-16291924	dmrta2
8:3084870-3085420	lhx2b
8:3078149-3078785	lhx2b
8:2998383-2999275	lhx2b
9:28133397-28134295	fzd5
9:28164097-28164558	fzd5
9:29828342-29829247	il1rapl1a
9:31341175-31342135	zic2a18:15299217-15300113
18:15380008-15380875	rfx4
18:20130563-20131468	tle3a
20:24858736-24859628	epha7
22:23421961-23422879	crb1
2:26290560-26291539	efna2a
7:36026268-36027190	irx3a
9:26027208-26027738	efnb2a
